Epoch,Training_errors,Validation_errors
644,6.18319E-05,7.04166E-05
645,6.42393E-05,7.0214E-05
646,6.26636E-05,7.02616E-05
647,6.93054E-05,8.09385E-05
648,5.31684E-05,7.02162E-05
649,6.47491E-05,7.49713E-05
650,6.83399E-05,7.17728E-05
651,7.76438E-05,8.60926E-05
652,5.70724E-05,7.15484E-05
653,6.11026E-05,7.05599E-05
654,5.69E-05,6.9977E-05
655,6.99232E-05,7.06709E-05
656,6.35133E-05,7.30549E-05
657,5.70787E-05,6.94315E-05
658,7.21719E-05,7.86494E-05
659,6.81944E-05,6.99956E-05
660,8.41472E-05,7.49333E-05
661,5.0087E-05,7.05602E-05
662,7.63846E-05,7.63463E-05
663,8.3732E-05,8.8963E-05
664,6.09519E-05,7.20954E-05
665,5.54843E-05,7.20805E-05
666,5.89146E-05,7.24832E-05
667,6.42142E-05,7.10925E-05
668,5.11358E-05,7.01331E-05
669,6.49891E-05,7.26366E-05
670,6.22902E-05,7.62398E-05
671,6.43657E-05,7.36106E-05
672,6.07961E-05,6.88208E-05
673,5.52328E-05,7.05412E-05
674,5.6968E-05,7.49219E-05
675,6.36522E-05,6.83304E-05
676,6.19464E-05,6.98927E-05
677,6.81889E-05,7.48248E-05
678,6.89332E-05,7.02294E-05
679,6.55892E-05,7.57932E-05
680,5.78055E-05,7.29683E-05
681,5.41007E-05,6.77173E-05
682,6.89492E-05,7.31779E-05
683,5.70259E-05,6.91926E-05
684,5.33355E-05,6.79783E-05
685,5.52394E-05,6.76647E-05
686,5.9789E-05,6.79196E-05
687,6.18281E-05,7.16306E-05
688,5.66218E-05,6.64735E-05
689,5.53107E-05,6.96111E-05
690,5.94426E-05,6.63921E-05
691,8.00417E-05,8.17524E-05
692,5.96416E-05,7.40356E-05
693,6.75655E-05,7.70013E-05
694,6.85919E-05,6.89139E-05
695,5.7351E-05,6.3371E-05
696,7.09836E-05,7.68958E-05
697,7.17103E-05,7.74525E-05
698,6.12209E-05,6.80325E-05
699,5.33846E-05,6.54523E-05
700,5.56494E-05,6.52217E-05
701,5.16446E-05,6.50139E-05
702,7.04114E-05,6.88321E-05
703,8.08311E-05,8.36223E-05
704,7.27169E-05,7.14605E-05
705,5.45307E-05,6.31611E-05
706,5.62858E-05,6.81842E-05
707,6.39597E-05,7.21784E-05
708,6.53188E-05,7.1877E-05
709,6.04017E-05,6.69672E-05
710,6.15043E-05,6.29855E-05
711,5.10422E-05,6.21083E-05
712,6.42488E-05,7.04971E-05
713,7.1181E-05,6.92893E-05
714,6.13944E-05,6.06557E-05
715,6.35789E-05,6.26021E-05
716,8.35665E-05,7.7798E-05
717,5.57323E-05,6.53298E-05
718,5.22015E-05,6.18549E-05
719,5.8528E-05,6.20289E-05
720,5.62226E-05,6.04098E-05
721,7.39828E-05,7.30304E-05
722,6.44904E-05,7.18141E-05
723,5.49012E-05,6.1529E-05
724,6.23985E-05,6.23805E-05
725,5.72338E-05,6.10046E-05
726,6.30159E-05,6.19003E-05
727,5.57383E-05,6.72133E-05
728,5.37319E-05,6.30057E-05
729,5.20711E-05,6.31783E-05
730,6.36005E-05,6.37201E-05
731,5.9359E-05,6.74764E-05
732,6.80523E-05,6.45448E-05
733,5.48775E-05,6.13907E-05
734,5.53198E-05,6.3579E-05
735,5.52926E-05,6.35609E-05
736,5.49497E-05,6.21483E-05
737,4.91094E-05,6.1308E-05
738,6.89537E-05,7.41839E-05
739,4.57558E-05,6.16997E-05
740,6.68704E-05,7.04324E-05
741,5.20618E-05,6.04189E-05
742,5.47183E-05,6.09151E-05
743,5.55733E-05,6.09121E-05
744,5.57018E-05,6.64967E-05
745,5.13114E-05,6.02656E-05
746,5.27739E-05,6.28781E-05
747,6.86944E-05,7.01031E-05
748,4.94515E-05,6.03198E-05
749,5.99974E-05,6.41019E-05
750,5.45995E-05,6.0588E-05
751,5.44689E-05,6.15458E-05
752,5.3972E-05,6.39339E-05
753,6.82698E-05,8.33941E-05
754,6.03734E-05,6.84827E-05
755,4.72529E-05,6.04613E-05
756,5.86491E-05,6.75524E-05
757,7.2513E-05,8.07499E-05
758,6.06682E-05,6.15417E-05
759,5.9265E-05,5.86082E-05
760,5.43154E-05,6.14796E-05
761,5.96477E-05,6.23992E-05
762,5.07075E-05,5.81328E-05
763,5.30642E-05,5.90078E-05
764,6.50301E-05,6.53483E-05
765,6.64284E-05,7.94332E-05
766,6.98059E-05,7.41443E-05
767,5.34315E-05,5.99669E-05
768,6.03785E-05,6.18264E-05
769,5.06391E-05,5.63579E-05
770,5.34281E-05,5.80608E-05
771,5.113E-05,6.15596E-05
772,6.1192E-05,6.80501E-05
773,5.44003E-05,6.10164E-05
774,5.54212E-05,6.08766E-05
775,5.10858E-05,6.20236E-05
776,3.84232E-05,5.70937E-05
777,5.92424E-05,5.84048E-05
778,4.66405E-05,5.62098E-05
779,5.93329E-05,6.44823E-05
